ID_resp,gender,personality,ID_question,positive/negative,simple/detailed
25,F,EX,6,POS,DET
25,F,EX,7,NEG,SIM
26,M,EX,1,POS,DET
26,M,EX,2,NEG,SIM
26,M,EX,3,NEG,DET
26,M,EX,4,POS,DET
26,M,EX,5,POS,DET
26,M,EX,6,POS,DET
26,M,EX,7,POS,SIM
27,F,EX,1,NEG,DET
27,F,EX,2,POS,SIM
27,F,EX,3,NEG,DET
27,F,EX,4,POS,DET
27,F,EX,5,NEG,SIM
27,F,EX,6,POS,DET
27,F,EX,7,NEG,DET
28,M,EX,1,POS,DET
28,M,EX,2,POS,SIM
28,M,EX,3,POS,SIM
28,M,EX,4,POS,DET
28,M,EX,5,POS,SIM
28,M,EX,6,POS,SIM
28,M,EX,7,NEG,SIM
29,F,EX,1,NEG,DET
29,F,EX,2,NEG,SIM
29,F,EX,3,NEG,DET
29,F,EX,4,NEG,SIM
29,F,EX,5,POS,DET
29,F,EX,6,POS,SIM
29,F,EX,7,POS,DET
30,F,EX,1,POS,DET
30,F,EX,2,NEG,SIM
30,F,EX,3,POS,SIM
30,F,EX,4,POS,SIM
30,F,EX,5,NEG,DET
30,F,EX,6,POS,DET
30,F,EX,7,POS,SIM
31,F,EX,1,POS,DET
31,F,EX,2,NEG,SIM
31,F,EX,3,NEG,DET
31,F,EX,4,POS,DET
31,F,EX,5,NEG,SIM
31,F,EX,6,NEG,SIM
31,F,EX,7,NEG,DET
32,F,IN,1,POS,SIM
32,F,IN,2,POS,SIM
32,F,IN,3,POS,SIM
32,F,IN,4,NEG,SIM
32,F,IN,5,NEG,SIM
32,F,IN,6,NEG,SIM
32,F,IN,7,POS,DET
33,F,IN,1,NEG,SIM
33,F,IN,2,POS,SIM
33,F,IN,3,POS,SIM
33,F,IN,4,NEG,DET
33,F,IN,5,NEG,SIM
33,F,IN,6,NEG,SIM
33,F,IN,7,POS,SIM
34,F,EX,1,POS,DET
34,F,EX,2,POS,DET
34,F,EX,3,NEG,DET
34,F,EX,4,POS,DET
34,F,EX,5,POS,DET
34,F,EX,6,POS,DET
34,F,EX,7,NEG,SIM
35,M,IN,1,POS,SIM
35,M,IN,2,POS,SIM
35,M,IN,3,NEG,SIM
35,M,IN,4,NEG,SIM
35,M,IN,5,NEG,SIM
35,M,IN,6,NEG,SIM
35,M,IN,7,POS,SIM
36,M,IN,1,POS,DET
36,M,IN,2,POS,SIM
36,M,IN,3,NEG,DET
36,M,IN,4,NEG,SIM
36,M,IN,5,POS,DET
36,M,IN,6,NEG,SIM
36,M,IN,7,POS,SIM
37,F,IN,1,POS,DET
37,F,IN,2,NEG,SIM
37,F,IN,3,NEG,SIM
37,F,IN,4,POS,SIM
